HUC8,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
15020003,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,264.3761275071364,295.6628723144531,295.4849548339844,189.2931365966797,250.65054321289063,232.6291961669922,237.0484161376953,315.7275695800781,284.922119140625,214.40603637695313,271.6407165527344,278.99713134765625,262.2821960449219,179.1230926513672,247.03208923339844,290.7336120605469,229.3116455078125,235.42796325683594,271.84942626953125,244.28622436523438,296.53240966796875,282.052978515625,272.8013000488281,269.77276611328125,277.0414123535156,324.62158203125,350.1205749511719,395.1053771972656,288.49169921875,333.2930908203125,288.1492614746094,312.5347595214844,177.06256103515625,272.81451416015625,236.3081817626953,382.94793701171875,279.59210205078125,290.19757080078125,201.163330078125,252.46986389160156,290.6903076171875,277.5003967285156,289.5669250488281,262.4549865722656,249.93836975097656,234.2496337890625,196.56109619140625,252.39111328125,208.07225036621094,260.1523742675781,240.00436401367188,258.4737243652344,170.9444122314453,248.01776123046875,221.04458618164063,213.91754150390625,260.5851135253906,261.6164245605469,401.23309326171875,258.3898010253906,200.94140625,285.7554626464844,299.723876953125,170.17935180664063,228.36016845703125,334.1015319824219
15020004,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,257.46083984375,275.16558837890625,283.310302734375,191.4395751953125,243.1266326904297,225.72711181640625,235.73960876464844,309.6118469238281,284.6583557128906,214.210205078125,252.06431579589844,282.76812744140625,259.9852294921875,178.03726196289063,230.45022583007813,274.1664123535156,238.67584228515625,230.36346435546875,256.91644287109375,239.30943298339844,286.1308288574219,280.78887939453125,266.9200134277344,270.0091857910156,270.0107727050781,318.2582092285156,346.18426513671875,374.65863037109375,304.9208984375,316.30572509765625,292.5564270019531,308.71710205078125,169.98489379882813,262.1385803222656,221.5703125,378.8889465332031,268.43292236328125,279.85260009765625,202.7547607421875,226.1648712158203,287.0950927734375,273.4764709472656,277.1646728515625,250.6733856201172,232.08831787109375,223.5907440185547,200.6868896484375,249.38063049316406,211.03634643554688,234.67373657226563,210.73098754882813,256.1603088378906,152.76890563964844,249.3513946533203,216.06858825683594,208.02615356445313,261.5442199707031,248.68719482421875,394.21417236328125,254.23590087890625,186.6254425048828,269.61602783203125,301.23419189453125,183.248046875,246.4208984375,305.1810607910156
15010014,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,192.7234799311711,239.44354248046875,207.7139129638672,174.68124389648438,132.19276428222656,106.14213562011719,172.18972778320313,92.2154769897461,267.60906982421875,154.89981079101563,188.22430419921875,147.66842651367188,208.0827178955078,172.7310028076172,143.84532165527344,183.71937561035156,200.91883850097656,179.29835510253906,141.13372802734375,224.59671020507813,200.1476287841797,420.3684997558594,298.72320556640625,253.8074493408203,191.95986938476563,275.948486328125,300.830322265625,303.6401062011719,184.63455200195313,205.307373046875,227.33236694335938,191.56637573242188,121.22042846679688,211.66769409179688,240.06700134277344,343.3937683105469,225.7657928466797,223.35745239257813,187.31069946289063,133.85968017578125,204.3832550048828,250.64990234375,145.04818725585938,148.16409301757813,130.90635681152344,62.38136672973633,187.01145935058594,304.4060363769531,212.84877014160156,88.4391860961914,139.9966583251953,142.30445861816406,129.90951538085938,183.89590454101563,127.14407348632813,274.1642761230469,145.5200653076172,139.45709228515625,227.57676696777344,168.83714294433594,149.61236572265625,187.28466796875,291.3349304199219,107.06226348876953,141.98348999023438,158.4886932373047
15020001,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,385.3009101280799,447.5220947265625,404.78997802734375,299.7194519042969,375.58447265625,364.8145751953125,351.62054443359375,432.5291442871094,403.04656982421875,362.2689208984375,417.5074157714844,400.9085693359375,382.7503356933594,278.14263916015625,350.0982360839844,393.9410095214844,332.03472900390625,339.6799621582031,401.9643249511719,370.6260681152344,435.8680725097656,398.2246398925781,360.0024108886719,384.2454528808594,395.7477111816406,424.33123779296875,539.15936279296875,532.85650634765625,431.829345703125,464.9659729003906,403.44512939453125,438.1994323730469,271.745849609375,396.4911804199219,361.8701171875,512.5574951171875,372.6092834472656,402.06573486328125,312.3794860839844,382.2525634765625,391.16650390625,429.3099060058594,416.9264221191406,348.5409851074219,384.24615478515625,366.0960693359375,315.54998779296875,344.54888916015625,300.4423828125,397.0846862792969,353.75262451171875,411.58319091796875,266.25689697265625,386.48175048828125,338.5750427246094,333.30889892578125,396.1663818359375,363.5347595214844,563.00665283203125,390.4092712402344,332.8780517578125,398.38055419921875,422.1703186035156,238.2079620361328,350.375732421875,475.1630554199219
15020005,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,385.6855773925781,425.3633728027344,398.3262634277344,307.0728759765625,359.9601135253906,346.1404113769531,342.3890380859375,425.4931640625,401.929443359375,344.56475830078125,371.72076416015625,421.9109802246094,425.180908203125,284.6534118652344,340.0679626464844,375.6147155761719,347.74462890625,334.699951171875,406.8907775878906,387.86431884765625,426.10565185546875,426.6905212402344,389.2124328613281,414.46795654296875,395.89251708984375,457.3635559082031,525.03375244140625,546.8651123046875,471.6723937988281,451.831298828125,427.1606750488281,430.7618713378906,288.97369384765625,387.0744323730469,377.9308776855469,553.8935546875,381.82391357421875,413.89776611328125,320.95416259765625,339.7052001953125,364.52313232421875,426.77435302734375,387.73858642578125,354.24237060546875,366.9678955078125,313.3745422363281,336.75311279296875,379.2069396972656,305.23846435546875,349.1440734863281,286.8922119140625,400.9044189453125,242.7503662109375,381.5762023925781,353.8432922363281,332.53271484375,411.30828857421875,359.47320556640625,573.32171630859375,396.2969665527344,286.5988464355469,396.3166198730469,455.8263244628906,267.36181640625,401.3819885253906,464.31488037109375
15020009,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,239.14021653395432,229.5443572998047,256.5355529785156,185.884033203125,227.44610595703125,207.465576171875,232.80474853515625,276.0303039550781,285.5942687988281,212.86260986328125,216.5094757080078,273.3132019042969,251.6503448486328,175.3797607421875,205.7312774658203,243.89450073242188,235.0894775390625,219.7597198486328,227.71780395507813,214.9641876220703,252.04388427734375,257.970703125,241.42857360839844,249.4586181640625,250.181396484375,303.7756652832031,318.3330383300781,327.3694763183594,309.2030944824219,292.37030029296875,294.52252197265625,288.3334045410156,154.15919494628906,247.38555908203125,203.84603881835938,347.490478515625,259.2628479003906,245.4284210205078,201.53219604492188,203.39663696289063,274.9469909667969,261.6842956542969,248.252685546875,223.3466339111328,203.3323211669922,198.2654571533203,194.1020965576172,244.65438842773438,206.4923095703125,208.83285522460938,177.63111877441406,240.56398010253906,137.65138244628906,255.30738830566406,205.09527587890625,187.8165740966797,261.4833679199219,225.33905029296875,374.0582275390625,235.51040649414063,168.77194213867188,247.4581756591797,297.7817687988281,137.68603515625,247.56951904296875,254.8104705810547
15020010,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,387.0256556584285,407.9954528808594,384.2828674316406,324.5852966308594,333.1078186035156,345.7098388671875,367.0837097167969,401.9007263183594,434.1659851074219,374.30218505859375,389.3987121582031,412.17437744140625,444.69244384765625,312.1979675292969,329.8550720214844,363.8795471191406,339.47613525390625,334.6220397949219,381.7388610839844,404.3121032714844,404.387939453125,394.0668029785156,379.11328125,393.5768127441406,412.5574035644531,456.55816650390625,526.87451171875,524.71673583984375,493.9417724609375,454.81201171875,453.9588928222656,433.0386047363281,302.4273681640625,415.3800048828125,388.8565368652344,565.5787353515625,397.83526611328125,391.8402404785156,340.412841796875,336.47357177734375,354.7734680175781,440.6244201660156,395.2666320800781,334.7135009765625,348.9345397949219,271.6292724609375,364.4501647949219,383.98529052734375,311.67413330078125,351.6369323730469,271.0260009765625,419.0237121582031,248.0795440673828,416.82562255859375,358.9250183105469,340.3679504394531,430.3525695800781,349.1227111816406,576.41583251953125,397.4512634277344,290.3515930175781,381.3472595214844,431.83514404296875,261.1472473144531,399.8968811035156,474.9222717285156
15020012,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,228.63068096454327,200.0845947265625,191.85122680664063,210.3172149658203,221.0813446044922,193.9850616455078,236.42723083496094,217.17007446289063,306.57110595703125,242.7320556640625,223.27674865722656,265.5815124511719,250.16830444335938,197.06980895996094,182.0199737548828,221.38134765625,246.38624572753906,186.5685272216797,195.5687713623047,177.4751434326172,204.2945556640625,236.082763671875,235.92135620117188,254.9710693359375,258.9241943359375,309.3583068847656,324.1959228515625,232.51406860351563,307.67437744140625,264.7003173828125,297.4439697265625,264.8607177734375,132.61334228515625,229.54965209960938,209.94418334960938,328.771728515625,258.52978515625,222.09976196289063,218.3260498046875,185.32974243164063,271.5271911621094,271.58917236328125,237.06838989257813,209.1219024658203,194.10696411132813,186.1693878173828,203.76788330078125,282.5295104980469,222.26136779785156,183.2346649169922,176.64219665527344,227.03579711914063,144.32090759277344,276.275146484375,201.81727600097656,185.97462463378906,269.26446533203125,211.03482055664063,354.71405029296875,221.1565704345703,162.6162109375,215.0205078125,236.75656127929688,110.59901428222656,225.8225860595703,238.74493408203125
15020014,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,225.48304948073167,217.44882202148438,223.26657104492188,196.32351684570313,202.70120239257813,192.45034790039063,218.4478302001953,250.86428833007813,278.3221435546875,210.0476531982422,210.9130859375,263.8075256347656,243.8905487060547,176.98561096191406,188.77684020996094,231.7769012451172,229.7593536376953,191.8230438232422,209.28594970703125,198.6994171142578,224.48155212402344,232.9336700439453,235.14141845703125,242.5081024169922,245.4154815673828,292.5830383300781,304.5143127441406,275.9300842285156,299.46307373046875,262.5187683105469,284.7930908203125,262.2830810546875,144.14907836914063,230.48788452148438,198.26400756835938,344.6363525390625,255.4965057373047,229.158935546875,200.42613220214844,186.08416748046875,252.4457550048828,253.89183044433594,226.812255859375,199.52415466308594,182.36691284179688,177.1283416748047,190.53427124023438,263.6937561035156,206.08164978027344,184.77767944335938,160.0836944580078,228.18801879882813,123.28778076171875,256.41302490234375,195.7777099609375,185.25454711914063,250.0013885498047,212.20762634277344,351.0382080078125,222.9107208251953,149.37356567382813,225.63946533203125,287.8067626953125,111.06336212158203,247.91543579101563,225.32090759277344
15020015,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,384.1032388540415,444.824462890625,362.9531555175781,385.04736328125,354.34063720703125,338.167724609375,392.2831726074219,382.081298828125,495.10284423828125,368.1622619628906,432.6731262207031,367.9537658691406,422.7070007324219,374.2276306152344,347.05853271484375,367.9675598144531,326.10675048828125,327.1867370605469,367.0511474609375,389.48089599609375,390.04595947265625,341.30902099609375,356.7547912597656,368.52471923828125,455.8714904785156,432.21392822265625,513.71661376953125,434.2709655761719,452.5633239746094,472.05633544921875,461.7896728515625,419.2162170410156,275.1744079589844,471.97747802734375,403.4536437988281,506.34344482421875,377.4229431152344,373.49615478515625,361.28509521484375,332.2239685058594,396.568603515625,463.1378173828125,402.4465026855469,318.0502014160156,319.4907531738281,244.1212615966797,372.8976135253906,429.1882629394531,336.5871276855469,351.8505859375,293.7425842285156,370.9882507324219,259.9888000488281,418.7053527832031,357.9015197753906,348.42840576171875,423.5755615234375,326.89947509765625,561.91668701171875,384.181396484375,278.2638244628906,352.99755859375,424.8690185546875,241.80081176757813,411.6951599121094,431.3311462402344
