HUC8,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
15020003,254.93,205.23,200.03,223.42,448.26,326.67,384.91,310.66,275.75,220.61,408.65,232.06,286.97,345.94,362.19,343.08,177.43,284.15,355.79,291.78,328.1,191.31,406.1,190.22,268.55,349.11,326.07,254.35,327.02,250.38,393.34,274.2,325.52,258.96,336.43,309.98,262.37,250.62,229.79,358.99,446.89,204.53,249.13,227.32,200.79,274.24,262.14,278.28,288.69,126.84,205.39,306.97,196.72,256.82,243.71,157.75,346.23,265.71,291.9,195.12,273.66,230.09,238.9,287.62,346.31,211.68,306.74,257.39,297.02,229.62,279.57,306.04,243.32,267.4,279.38,235.09,281.19,327.25,259.03,270.11,297.81,365.15,339.58,396.24,312.77,383.75,280.86,306.67,167.25,301.72,212.84,399.16,277.67,344.83,206.57,235.58,308.81,248,234.43,237.32,253.21,300.31,192.92,215.27,227.6,229.55,278.9,233.51,150.82,264.16,234.3,144.45,227.65,208.52,322.08,225.52,171.23,314.62,260.8,153.06,295.33,320.49,199.52
15020004,251.34,215.24,205.85,219.06,483.84,336.68,389.72,322.96,286.02,225.83,417.27,219.14,291.71,362.56,382.52,353.75,184.18,294.72,386.19,295.75,316.61,214.31,386.06,196.54,274.18,346.61,351.29,247.21,336.98,265.01,405.15,283.99,306.22,252.67,329.96,334.1,274.93,247.23,231.14,365.39,462.31,205.77,233.16,238.02,216.43,271.46,268.86,282.32,293.62,127.22,213.92,324.15,185.75,262.58,250.88,159.5,350.98,270.88,280.88,203.64,281.63,239,239.69,288.57,370.93,230.85,300.39,266.29,317.19,234.36,284.47,291.42,255.62,264.77,281.58,222.44,279.4,368.59,277.47,291.59,290.73,389.11,336.12,378.02,358.64,382.64,304.93,292.3,179.95,304.13,251.39,414.48,319.82,335.94,234.76,230.05,333.92,292.49,220.74,233.24,230.7,265,170.82,208.42,226.91,215.7,280.5,234.77,143.61,296.1,239.87,134.72,221.76,204.87,316.09,234.51,190.93,285.24,279.84,171.95,292.27,325.33,218.75
15010014,181.43,149.8,135.33,183.5,370.03,302.17,236.68,277.89,296.13,189.36,216.71,182.1,146.89,228.03,257.25,242.79,171.11,267.84,270.74,253.57,247.43,235.93,194.53,120.74,223.38,203.71,270.75,103.81,137.88,205.74,298.78,206.96,133.75,151.22,203.05,236.48,196.6,211.7,269.44,287.81,364.38,104.75,215.76,175.19,182.18,204.23,105.49,131.93,207.05,89.77,235.98,239.35,106.68,183.58,176.5,57.11,240.77,226,189.9,165.31,134.32,133.52,151.6,100.66,324.97,147.92,201.58,117.35,214.55,167.4,156.67,179.77,183.51,156.42,143.25,230.48,162.37,381.87,215.83,263.21,187.89,264.74,308.05,270.05,156.34,192.51,218.69,175.09,78.78,212.19,222.13,343.92,284.98,137.27,162.81,102.67,171.67,277.19,148.23,117.06,162.62,64.1,189.24,306.34,283.42,117.19,101.24,127.15,90.55,267.1,154.05,161.54,157.3,144.12,159.41,224.1,154.84,161.17,240.8,91.44,136.57,137.49,187.3
15020001,437.09,345.35,329.53,341.75,702.2,471.95,519.63,501.53,413.2,306.69,510.04,377.2,399.14,493.76,506.31,523.53,306.96,428.83,496.6,390.55,480.36,330.42,546.8,330.46,422.17,448.54,462.26,384.32,463.13,384.2,592.54,462.29,471.41,399.9,499.97,433.39,406.3,383.5,365.02,526.19,609.52,304.6,392.1,374.09,300.68,401.62,401.22,385.83,432.92,234.6,368.37,426.21,295.96,369.09,382.87,257.09,546.31,502.17,488.19,348.72,469.38,422.11,391.7,439.49,536.35,351.21,544.35,369.42,428.39,334.87,439.02,474.91,361.97,389.38,432.74,372.36,414.27,573.52,442.54,419.95,420.2,489.25,601.21,539.77,447.8,573.1,513.99,465.42,272.92,471.94,420.35,583.02,431.85,515.02,328.2,376.22,450.92,388.64,428.44,386.32,383.68,371.53,350.32,386.44,369.01,426.88,466.47,431.92,308.81,428.2,397.99,277.52,453.27,334.22,505.79,391.2,296.94,369.58,451.08,254.32,420.17,486.97,312.89
15020005,367.08,351.26,320.08,282.73,842.01,507.19,503.73,464.84,396.25,288.12,475.46,410.8,340.17,500.68,576.83,527.05,344.08,412.43,627.53,446.89,426.75,431.51,557.56,353.46,422.46,479.93,470.43,339.77,414.62,467.32,589.78,386.05,438.2,334.77,465.78,445.36,408.79,409.33,331.77,514.69,617.63,302.56,371.42,371.84,324.41,417.28,386.38,333.18,450.54,213.92,450.17,518.23,295.05,389.79,363.24,263.13,475.63,466.58,490.33,302.53,401.35,357.25,344.64,393.05,565.4,314.11,496.97,358.51,435.92,356.65,470.19,464.76,378.3,387.32,377.85,393.37,413.42,668.02,393.6,461.64,376.38,514.73,502.91,542.87,490.37,461.81,443.42,451.21,295.03,428.63,437.94,602.36,481.68,470.13,356.02,327.45,429.32,382.52,349.45,378.16,359.64,278.12,350.05,347.7,373.39,371.28,434.81,442.68,248.61,492.22,365.7,292.27,440.89,372.64,552.4,401.63,313.51,390.41,473.88,257.25,434.66,454.12,311.24
15020009,240.32,220.64,203.85,213.9,443.39,318.37,362.81,324.29,291.04,219.11,394.37,207.04,269.4,337.29,334.21,334.94,182.95,267.59,371.47,265.09,298.51,207.96,371.71,204.96,288.86,323.39,357.72,231.02,310.66,254.24,374.7,248.76,276.85,223.65,308.94,316.9,260.73,238.16,226.7,365.89,469.91,208.15,225.4,245.12,229.21,265.37,274.29,274.76,282.59,120.16,213.81,324.97,187.94,262.45,230.69,156.19,349.12,247.94,261.25,194.85,273.64,221.61,230.82,279.97,370.33,234.34,291.79,255.82,307.27,231,278.04,281.84,240.92,252.32,260.88,203.8,266.94,365.27,259.37,274.01,269.36,406.09,314.84,363.75,369.64,341.91,312.8,274.8,174.51,279.64,282.31,386.29,324.49,286.14,238.21,204.5,322.05,305.46,232.48,237.92,203.48,224.21,173.33,236.76,239.14,225.29,278.72,219.56,133,307.34,232.94,149.4,227.29,205.77,322.96,247.2,189.5,234.99,254.43,164.54,232.99,302.65,201.62
15020010,328.71,328.34,284.15,281.84,877.92,528.46,488.86,506.6,428.57,312.42,508.23,415.37,386.51,500.83,554.15,565.9,418.8,428.55,623.92,464.07,465.13,465.76,577.99,309.79,439.78,455.66,544.97,311.63,408.68,463.07,595.85,399.55,385.92,345.75,480.37,477.1,425.53,422.95,346.83,566.19,654.36,324.2,377.48,422.51,341.47,434.76,367.06,323.29,481.86,228.34,515.91,535.08,296.39,406.27,408.85,256.19,514.17,468.25,498.13,332.25,409.07,365.04,400.52,398.21,621.12,379.56,522.47,362.16,453.41,372.13,451.82,489.5,402,372.37,390.18,412.67,415.84,686.08,407.91,521.95,444.37,573.88,535.92,516.72,495.42,449.51,451.02,466.28,311.68,445.59,477.56,645.03,541.54,455.53,419.37,379.29,470.46,432.51,362.05,382.12,357.7,236.78,358.92,424.16,396.08,342.43,450.56,469.53,246.97,531.08,374.34,290.94,467.23,382.79,570.22,402.85,336.87,364.54,476.72,233.82,438.24,459.04,355.59
15020012,189.73,181.82,176.11,185.2,378.65,338.96,315.88,295.85,303.61,225.44,349.42,213.13,246.52,312.35,293.85,310.11,175.23,241.19,282.04,235.78,271.68,212.56,325.03,185.37,277.44,280.43,359.42,205.12,277.25,220.26,314.16,228.83,233.15,194.94,264.73,277.3,257,229.81,221.12,350.04,439.03,204.05,211.07,221.2,188.98,242.85,245.58,235.98,254.74,128.49,211.8,292.23,189.95,224.01,187.28,144.9,333.78,216.81,221,189.88,238.36,189.69,210.57,225.97,372.29,214.15,239.31,203.49,256.82,214.4,226.92,269.98,212.19,206.49,216.6,177.77,216.55,338.84,242.62,264.21,255.04,348.41,324.05,317.28,348.9,271.41,282.31,272.33,121.28,250.02,243.6,316.83,279.59,211.57,224.97,164.44,304.06,291.84,217.67,207.36,172.52,149.43,159.01,256.06,246.33,218.26,223.6,204.39,132.34,283.12,205.34,162.31,238.88,166.47,366.04,239.15,194.44,159.41,242.9,88.59,184.39,269.33,226.8
15020014,189.66,172.95,165.62,172.86,391.12,326.38,309.33,293.54,292.02,206.47,339.64,195.4,237.16,295.28,291.68,282.46,164.81,225.85,282.78,226.98,256.61,188.08,340.09,177.49,260.47,270.66,338.85,203.15,271.25,207.53,317.44,220.8,227.67,189.15,265.25,279.43,245.8,200.35,189.73,334.47,419.67,212.17,198.34,217.49,190.5,233.33,239.55,223,236.85,120.63,202.74,287.74,162.94,219.42,190.58,136,282.25,210.91,207.93,181.56,226.52,187.24,207.83,220.16,332.63,199.2,232.68,196.05,232.02,195.59,204.26,237.59,207.59,194.48,209.24,182.61,219.53,326.17,224.91,263.3,227.7,323.24,278.25,317.76,306.89,237.3,243.43,229.4,127.77,206.25,203.46,314.82,254.77,199.85,205.73,143.38,253.87,258.6,198.31,183,163.36,138.85,148.77,221.57,209.57,180.48,202.48,168.5,111.51,250.22,188.23,134.29,201.68,165.42,314.87,207.21,161.94,147.55,223.65,89.46,157.26,241.21,185.84
15020015,363.69,335.91,312.09,302.72,826,551.38,588.47,564.7,508.16,343.13,526.1,408.62,399.36,476.18,546.12,535.92,418.47,464.4,608.65,462.24,496.83,485.57,561.28,334.8,433.85,424.26,548.4,340.11,377.04,483.53,542.41,429.55,392.33,338.66,460.46,479.04,431.67,427.61,356.61,579.94,661.11,288.71,403.61,421.13,395.44,459.78,308.43,338.5,563.15,246.41,504.47,516.76,286.32,419.03,410.36,227.54,557.96,488.2,462.68,384.32,418.66,367.93,373.81,407.21,719.2,398.44,509.43,360.39,470.94,437.08,413.57,535.68,405.67,351.79,395.42,407.01,380.45,672.27,411.88,526.59,497,664.26,601.81,454.16,528.05,556.23,535.17,438.71,267.01,492.19,491.62,680.36,598.66,429.72,434.38,348.02,514.91,586.33,436.67,396.5,369.86,264.66,417.62,503.91,512.6,374.46,403.79,454.67,269.76,574.96,413.03,370.6,498.45,385.68,606.26,457.3,353.58,410.72,497.45,209.07,461.77,451.22,448.84
