HUC8,NAME,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
14070006,Lower Lake Powell,3696.5388,8.2498,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,0.0003,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729
14070007,Paria,989.5712,6.3037,0.2013,0.0367,0.0097,1.1976,0,0,0,0,0,0.0001,0,0,0,0.0053,0,0.0638,0,0.9295,0.0005,0,0,0.0007,0.0001,0.2287,0,0.8778,0,0,0,0.1043,0,0,0.0177,0,0,0,0,0.0009,0.7016,0.2965
14080105,Middle San Juan,731.7503,9.9803,0.0717,0.7588,0.294,0.2457,0,0,0,0,0,0.0041,0.0003,0,0,0.0006,0.0032,0.3302,0.0001,0.6535,0.0064,0.0009,0.0003,0.0002,0,0.1121,0.0366,0.8869,0,0,0,0,0,0,0.0761,0,0,0,0,0,0.51,0.4876
14080106,Chaco,23.5631,16.0299,0.0019,0.9829,0.0325,0.4473,0,0,0,0,0.0003,0,0,0,0,0,0.0076,0.8607,0.0003,0.1236,0,0,0,0.004,0.0024,0.6187,0,0.9951,0,0,0,0,0,0,0,0,0,0,0,0,0.4594,0.5223
14080201,Lower San Juan-Four Corners,621.5632,6.377,0.7629,0.3179,0.2318,0.2254,0,0,0,0,0,0.0066,0.0034,0.0008,0.0002,0.0041,0.0011,0.1383,0,0.7957,0.0491,0,0,0.0004,0.0001,0.1306,0.0645,0.5591,0,0,0,0,0,0,0.376,0,0,0,0,0.0001,0.7404,0.2571
14080204,Chinle,9961.9704,5.5848,0.4417,0.2067,0.5141,0.2016,0.0008,0,0.0012,0,0.0006,0.0069,0.0011,0.0005,0.0001,0.0124,0.0005,0.1572,0,0.7458,0.0701,0,0,0.003,0.0019,0.12,0.0014,0.8829,0,0,0,0.0202,0.0015,0,0.0941,0,0,0,0,0.0028,0.5796,0.4174
14080205,Lower San Juan,1798.7805,8.8641,0.4319,0,0.5337,0.1812,0,0,0,0,0,0.0026,0.0001,0,0,0.0103,0,0.076,0,0.8919,0.0178,0.0002,0,0.0009,0.0001,0.2615,0,0.5973,0,0,0,0.2455,0,0,0.157,0,0,0,0,0.0019,0.5634,0.4332
15010001,Lower Colorado-Marble Canyon,3802.8422,13.6318,0.1761,0.2893,0.2169,0.7273,0,0,0,0,0.0035,0.0022,0.0008,0.0002,0,0.0397,0.0004,0.1727,0.0002,0.7029,0.0768,0,0,0.0006,0.0002,0.8476,0.0006,0.1454,0,0,0,0.7445,0,0.0051,0.0691,0,0,0.0012,0,0.0005,0.5453,0.4542
15010002,Grand Canyon,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,0.0007,0.0001,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,0.0002,0.0001,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,0.0004,0.4955,0.5041
15010003,Kanab,4428.9186,7.2934,0.0893,0.4179,0.1897,0.7772,0,0,0,0,0,0.0031,0.0007,0.0001,0,0.0208,0.0001,0.2254,0,0.7274,0.0211,0.0002,0,0.001,0.0001,0.8799,0,0.298,0,0,0,0.6779,0.0024,0,0.0216,0,0,0,0,0.0001,0.5805,0.419
