"","HUC8","Site_Num","Long","Lat","PROVINCE"
"1",15030107,9528200,-114.7616667,32.61833333,"BASIN AND RANGE"
"2",15030107,9531800,-114.7146776,32.7283806,"BASIN AND RANGE"
"3",15070201,9529250,-114.533386,32.71555556,"BASIN AND RANGE"
"4",15030107,9529000,-114.5226139,32.75877778,"BASIN AND RANGE"
"5",15030104,9429070,-114.497561,33.72951944,"BASIN AND RANGE"
"6",15030104,9429030,-114.4974554,33.75696536,"BASIN AND RANGE"
"7",15030101,9423650,-114.4902393,34.7375068,"BASIN AND RANGE"
"8",15030107,9527900,-114.4855873,32.8191831,"BASIN AND RANGE"
"9",15030104,9429060,-114.4855107,33.761132,"BASIN AND RANGE"
"10",15070201,9522660,-114.4787944,32.74586944,"BASIN AND RANGE"
"11",15070201,9522680,-114.4616667,32.74388889,"BASIN AND RANGE"
"12",15030104,9428510,-114.4563389,33.99845278,"BASIN AND RANGE"
"13",15030104,9428511,-114.4455106,33.99946154,"BASIN AND RANGE"
"14",15070201,9529100,-114.4455024,32.71004709,"BASIN AND RANGE"
"15",15070201,9529300,-114.4369028,32.74210278,"BASIN AND RANGE"
"16",15030104,9428505,-114.433566,34.02779463,"BASIN AND RANGE"
"17",15070201,9520500,-114.4205019,32.7608789,"BASIN AND RANGE"
"18",15030104,9428508,-114.4124542,34.0233504,"BASIN AND RANGE"
"19",15030204,9426620,-114.0289806,34.2612361,"BASIN AND RANGE"
"20",15010010,9415060,-114.01475,36.80988889,"BASIN AND RANGE"
"21",15030204,9426500,-113.9841085,34.26668248,"BASIN AND RANGE"
"22",15010010,9414900,-113.9335767,36.90192134,"BASIN AND RANGE"
"23",15010010,9415000,-113.9244098,36.8916437,"BASIN AND RANGE"
"24",15010010,9413700,-113.8313889,36.92138889,"BASIN AND RANGE"
"25",15010007,9404343,-113.6577185,35.38416188,"BASIN AND RANGE"
"26",15010005,9404222,-113.65535,35.7999,"COLORADO PLATEAUS"
"27",15030201,9424450,-113.6243774,34.46251664,"BASIN AND RANGE"
"28",15030204,9426000,-113.6088195,34.2308539,"BASIN AND RANGE"
"29",15070201,9520280,-113.5412639,32.87928056,"BASIN AND RANGE"
"30",15030204,9425500,-113.5174279,34.30001995,"BASIN AND RANGE"
"31",15030201,9424200,-113.4696561,35.18111629,"BASIN AND RANGE"
"32",15030202,9424447,-113.4452053,34.5416838,"BASIN AND RANGE"
"33",15010002,9404208,-113.3682663,35.76498839,"COLORADO PLATEAUS"
"34",15010002,9404200,-113.363544,35.7735994,"COLORADO PLATEAUS"
"35",15030203,9424900,-113.3471441,34.305854,"BASIN AND RANGE"
"36",15070201,9519800,-113.0146217,33.0750458,"BASIN AND RANGE"
"37",15070104,9517490,-112.8818423,33.31031984,"BASIN AND RANGE"
"38",15070202,9520170,-112.8812676,32.4995006,"BASIN AND RANGE"
"39",15070104,9517500,-112.79795,33.2700431,"BASIN AND RANGE"
"40",15010004,9404115,-112.761305,36.30581618,"COLORADO PLATEAUS"
"41",15070103,9517000,-112.7257391,33.3472844,"BASIN AND RANGE"
"42",15070103,9515500,-112.7098996,34.0450291,"BASIN AND RANGE"
"43",15010004,9404110,-112.6901,36.21946667,"COLORADO PLATEAUS"
