"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15030107,9528200,-114.7616667,32.61833333,2010,0.0813007330175296,23.3,127.6,77.6017150878906,36.57,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,-2.42480379667258,0.41311594560211
15030107,9528200,-114.7616667,32.61833333,2023,0.000554184283074764,23.16,88.7,132.322845458984,36.57,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,-7.4974589477006,0.00786206832844495
15030107,9531800,-114.7146776,32.7283806,1970,0.502531304499187,22.47,74.16,66.1450271606445,36.57,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,0.0101253045012241,0.115530953476115
15070201,9529250,-114.533386,32.71555556,1978,0.0169652794071371,21.32,214.38,276.71484375,42.52,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-4.05947557285156,0.0451801361746493
15070201,9529250,-114.533386,32.71555556,1980,0.0541113848237145,21.66,117.32,114.212600708008,42.52,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-2.86108021509964,0.3103201185986
15070201,9529250,-114.533386,32.71555556,1981,0.0479663196859101,22.3,95.9,107.357116699219,42.52,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-2.98810132123693,0.162520904349945
15070201,9529250,-114.533386,32.71555556,1991,0.131922615764095,21.26,110.79,150.603820800781,42.52,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-1.88406535656539,0.0613141574741095
15070201,9529250,-114.533386,32.71555556,2011,0.309721183745704,21.87,107.36,112.902862548828,42.52,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-0.801423112002451,0.12829868221945
15030107,9529000,-114.5226139,32.75877778,1993,0.61179386783827,23.66,138.75,110.328918457031,40.73,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,0.454858941510708,0.843741171246429
15030107,9529000,-114.5226139,32.75877778,1995,0.801944322419923,24.25,39.85,49.6258506774902,40.73,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,1.39849099097541,0.781160794252775
15030107,9529000,-114.5226139,32.75877778,2002,0.813897576801893,23.42,1.5,22.5193386077881,40.73,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,1.47553734655122,0.746158434004518
15030107,9529000,-114.5226139,32.75877778,2013,0.579103182178342,23.62,116.53,70.6693572998047,40.73,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,0.319092953924085,0.570108218527139
15030107,9529000,-114.5226139,32.75877778,2019,0.78094005019021,23.25,82.15,130.507354736328,40.73,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,1.27115295079432,0.224287054218403
15030104,9429030,-114.4974554,33.75696536,1984,0.937233615806842,22.22,168.47,186.055328369141,88.42,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.70351292771856,0.856700334801146
15030104,9429030,-114.4974554,33.75696536,2000,0.942647660635163,22.89,45.61,66.2535247802734,88.42,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.79947894239911,0.891309237625004
15030104,9429030,-114.4974554,33.75696536,2011,0.896831105811719,21.88,118.83,84.9714508056641,88.42,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.16250016178589,0.880167293287517
15030101,9423650,-114.4902393,34.7375068,1973,0.385886524010957,20.55,152.87,153.627777099609,139.15,3134.4302,8.9567,0.5321,0.1266,0.0248,0.6258,0,0,0,0,0.0336,0.0083,0.0219,0.0233,0.0048,0.0194,0,2e-04,0,0.8232,0.0235,2e-04,0.0206,0.0109,0.0099,0.0814,0.0791,0.0849,0,0.0526,0,0,0.2868,0.0893,0.3746,0.0106,0,0,0,0.0234,0.4394,0.5349,-0.464636378387247,0.204918277828628
