"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15010005,9404222,-113.65535,35.7999,2000,0.867670718747712,17.79,190.54,189.752975463867,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222,1.88051891511463,0.732590549382514
15010005,9404222,-113.65535,35.7999,2010,0.838967889224634,16.79,322.9,232.198760986328,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222,1.65056864215103,0.718923913727044
15010005,9404222,-113.65535,35.7999,2012,0.80731930164164,17.75,205.16,327.196960449219,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222,1.43268484879665,0.549306314676665
15010002,9404208,-113.3682663,35.76498839,1994,0.808208090607549,13.47,284.19,299.234161376953,426.52,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,1.43840858420602,0.7012507626505
15010002,9404208,-113.3682663,35.76498839,1995,0.665286434373123,13.76,376.2,343.1904296875,426.52,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,0.686942538198974,0.616235543916494
15010002,9404208,-113.3682663,35.76498839,2011,0.779598827166873,12.96,254.06,251.616012573242,426.52,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,1.26333006457955,0.769888487736779
15010002,9404208,-113.3682663,35.76498839,2020,0.634899037340108,14.88,130.68,157.594390869141,426.52,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,0.553292064576554,0.844745832767707
15010002,9404200,-113.363544,35.7735994,1999,0.851740567786936,13.84,257.14,276.807952880859,408.54,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,1.74831832300694,0.800924619830176
15010002,9404200,-113.363544,35.7735994,2000,0.815427073428215,14.29,297.5,261.723175048828,408.54,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,1.48566734111321,0.808596468711451
15010002,9404200,-113.363544,35.7735994,2012,0.817551067764228,14.44,280.45,365.419555664062,408.54,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,1.49984305853442,0.820432549037429
15010002,9404200,-113.363544,35.7735994,2020,0.841593829681142,14.88,130.68,157.594390869141,408.54,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,1.6701350776491,0.901196251210438
15010004,9404115,-112.761305,36.30581618,2017,0.950802570003684,12.12,327.62,263.112976074219,570.46,7599.0116,4.0678,0.0013,0.1329,0.2894,1.0519,0,0,0,0,1e-04,0.0052,0.0018,8e-04,2e-04,0.0117,0,0.1928,0,0.7109,0.0762,0,0,1e-04,1e-04,0.7911,0,0.0792,0,0,0,0.6554,0.2065,0,0.0589,0,0,0,0,0.0017,0.5224,0.476,2.96146505218653,0.948914362174797
15010004,9404110,-112.6901,36.21946667,2010,0.93587406123881,10.64,460.72,380.282897949219,987.12,7599.0116,4.0678,0.0013,0.1329,0.2894,1.0519,0,0,0,0,1e-04,0.0052,0.0018,8e-04,2e-04,0.0117,0,0.1928,0,0.7109,0.0762,0,0,1e-04,1e-04,0.7911,0,0.0792,0,0,0,0.6554,0.2065,0,0.0589,0,0,0,0,0.0017,0.5224,0.476,2.6806319745319,0.896920610007972
15010003,9403780,-112.5799203,36.86387568,1966,0.165275201798284,11.55,323.98,312.490600585938,1370.36,4428.9186,7.2934,0.0893,0.4179,0.1897,0.7772,0,0,0,0,0,0.0031,7e-04,1e-04,0,0.0208,1e-04,0.2254,0,0.7274,0.0211,2e-04,0,0.001,1e-04,0.8799,0,0.298,0,0,0,0.6779,0.0024,0,0.0216,0,0,0,0,1e-04,0.5805,0.419,-1.61949011333066,0.0740038343012751
15010004,9404104,-112.4263889,35.80444444,2015,0.000900688297183104,11.53,469.83,471.680114746094,1652.23,7599.0116,4.0678,0.0013,0.1329,0.2894,1.0519,0,0,0,0,1e-04,0.0052,0.0018,8e-04,2e-04,0.0117,0,0.1928,0,0.7109,0.0762,0,0,1e-04,1e-04,0.7911,0,0.0792,0,0,0,0.6554,0.2065,0,0.0589,0,0,0,0,0.0017,0.5224,0.476,-7.01145021812258,0.00419883315260745
15010004,9404104,-112.4263889,35.80444444,2022,0.0131112786116032,11.24,347.96,350.699157714844,1652.23,7599.0116,4.0678,0.0013,0.1329,0.2894,1.0519,0,0,0,0,1e-04,0.0052,0.0018,8e-04,2e-04,0.0117,0,0.1928,0,0.7109,0.0762,0,0,1e-04,1e-04,0.7911,0,0.0792,0,0,0,0.6554,0.2065,0,0.0589,0,0,0,0,0.0017,0.5224,0.476,-4.32108446628093,0.00332516216529225
15010002,9403013,-112.1260026,36.0785939,2017,0.933529296982347,14.73,275.54,234.186294555664,1156.11,6607.564,17.1364,0.0113,0.0812,0.1158,1.1337,0,0,0,0,0.0023,7e-04,1e-04,0,0,0.0832,0,0.2535,0,0.65,0.0099,0,0,2e-04,1e-04,0.9222,0.0074,0.0534,0,0,0,0.8326,0.0795,0.0077,0.0128,0,0,0.0019,0,4e-04,0.4955,0.5041,2.64221105204604,0.911327901211583
