"HUC8","Site_Num","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","SOIL_A_PERCENT","SOIL_C_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_HERBACEOUS_PERCENT","BFI.log","Predicted_BFI"
15030107,9528200,0.0197619829332343,23.62,116.53,70.6693572998047,36.57,0.41,0.2007,0.0225,0.027,0,0.0258,-3.9040353785762,0.266031022442942
15030107,9528200,0.000650651310271187,24.79,68.99,66.6700286865234,36.57,0.41,0.2007,0.0225,0.027,0,0.0258,-7.3368858178798,0.0458756863317994
15030107,9528200,0.000642115670825775,24.38,110.41,89.2576599121094,36.57,0.41,0.2007,0.0225,0.027,0,0.0258,-7.35009977596225,0.0151944420664849
15030107,9531800,5.27379871909034e-05,23.22,90.33,100.332359313965,36.57,0.41,0.2007,0.0225,0.027,0,0.0258,-9.85012180314298,0.071469750393854
15030107,9531800,0.378272555717415,23.66,138.75,110.328918457031,36.57,0.41,0.2007,0.0225,0.027,0,0.0258,-0.496886821571422,0.111370444689211
15070201,9529250,0.0310337859676681,21.08,115.74,136.70881652832,42.52,0.4201,0.164,3e-04,0.0029,0,0.0352,-3.44115326351034,0.0538638951898377
15070201,9529250,0.0866330259502405,22.5,77.62,88.7374954223633,42.52,0.4201,0.164,3e-04,0.0029,0,0.0352,-2.35545663805649,0.358616568545556
15070201,9529250,0.0669897188982637,22.79,30.56,74.544548034668,42.52,0.4201,0.164,3e-04,0.0029,0,0.0352,-2.6338770618515,0.237571312892531
15070201,9529250,0.275572606713919,22.87,115.8,116.515701293945,42.52,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.966530401320333,0.225644032142909
15070201,9529250,0.257349086097245,22.97,129.92,164.03239440918,42.52,0.4201,0.164,3e-04,0.0029,0,0.0352,-1.05979262618476,0.264963459857123
15070201,9529250,0.328735379313463,22.76,91.69,93.6996383666992,42.52,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.713910317937567,0.222825876817422
15030107,9529000,0.571256445899238,23.28,41.04,85.2380218505859,40.73,0.41,0.2007,0.0225,0.027,0,0.0258,0.286979261794805,0.752366482232588
15030107,9529000,0.801944322419923,24.25,39.85,49.6258506774902,40.73,0.41,0.2007,0.0225,0.027,0,0.0258,1.39849099097541,0.764089345496952
15030107,9529000,0.804046479517646,23.94,96.55,51.5039596557617,40.73,0.41,0.2007,0.0225,0.027,0,0.0258,1.41177958714121,0.856046608294869
15030107,9529000,0.776529269047269,24.38,110.41,89.2576599121094,40.73,0.41,0.2007,0.0225,0.027,0,0.0258,1.24555388766368,0.549167240497533
15030104,9429070,0.773276937434841,22.93,91.2,58.4737358093262,87.27,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.2269079636126,0.801920735039091
15030104,9429070,0.739319961760543,22.62,85.29,64.1969833374023,87.27,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.04243704493666,0.810601762506367
15030104,9429030,0.906735902023304,22.4,133.59,124.689239501953,88.42,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.27441599839882,0.876670133783946
15030104,9429030,0.859806503716062,22.93,139.71,134.333984375,88.42,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.81368378357369,0.899322334123048
15030104,9429030,0.939946847481259,22.75,107.09,89.6592330932617,88.42,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.7505932830541,0.888674119575591
15030104,9429030,0.899038785362439,22.5,139.15,65.5944061279297,88.42,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.18658974672487,0.947734409371464
15030104,9429030,0.756289192731023,23.1,117.02,118.469444274902,88.42,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.13244152684268,0.88188497328934
15030104,9429030,0.918324963016817,22.93,91.2,58.4737358093262,88.42,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.41980290789901,0.887547423720864
15030101,9423650,0.34967699873849,22.88,69.94,100.963241577148,139.15,0.5321,0.0248,0.0336,0.0219,2e-04,0.0235,-0.620459296842906,0.160069439298274
15030101,9423650,5.27379871909034e-05,22.36,88.88,102.212356567383,139.15,0.5321,0.0248,0.0336,0.0219,2e-04,0.0235,-9.85012180314298,0.310242958730961
15030107,9527900,0.724873516264478,23.42,69.86,73.5848922729492,47.62,0.41,0.2007,0.0225,0.027,0,0.0258,0.968766246527203,0.899504682246799
15030104,9429060,0.82442899261535,21.61,93.61,105.905372619629,87.5,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.54664745497926,0.8625128896368
15030104,9429060,0.825799670434048,22.61,131.43,117.92684173584,87.5,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.55614625806579,0.845631511428893
15030104,9429060,0.874465843700371,22.89,45.61,66.2535247802734,87.5,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.94103535231338,0.915526424317685
15030104,9429060,0.87755564073756,22.72,103.42,80.6070709228516,87.5,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.96948364488014,0.853147284917807
15070201,9522660,0.00878112103466565,22.29,143.09,80.6778717041016,50.79,0.4201,0.164,3e-04,0.0029,0,0.0352,-4.72633129672634,0.0321876759932679
15070201,9522660,0.0299487710796616,21.87,107.36,112.902862548828,50.79,0.4201,0.164,3e-04,0.0029,0,0.0352,-3.4778605921018,0.0480775962466966
15070201,9522660,0.0556492174695078,22.76,91.69,93.6996383666992,50.79,0.4201,0.164,3e-04,0.0029,0,0.0352,-2.83142967280745,0.0505289352716018
15070201,9522680,0.160435835448337,22.23,103.89,120.253234863281,50.12,0.4201,0.164,3e-04,0.0029,0,0.0352,-1.65498882196402,0.165367200383477
15030104,9428510,0.714471310482925,22.64,155.76,125.605331420898,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,0.91720033056215,0.578466085146763
15030104,9428510,0.660020051627304,22.01,105.81,143.604614257812,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,0.663383575315794,0.682391291192388
15030104,9428510,0.695859939798957,23.17,93.55,84.0423583984375,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,0.827660084511832,0.651965401605692
15030104,9428510,0.762510169266246,22.39,73.41,70.0904388427734,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.16649104054041,0.695234281937283
15030104,9428510,0.750589124596215,22.75,107.09,89.6592330932617,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.10175675908333,0.671533309062472
15030104,9428510,0.727172322864007,22.88,124.41,135.522796630859,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,0.980323105670879,0.733163972120408
15030104,9428510,0.615060901652397,21.81,138.11,169.892944335938,101.8,0.5778,0.1603,0.0075,0.0037,0,0.0119,0.468636154315809,0.710369259054084
15030104,9428511,0.0653412876652015,22.28,94.15,120.908782958984,101.97,0.5778,0.1603,0.0075,0.0037,0,0.0119,-2.6605573359803,0.152932032852834
15030104,9428511,0.0718988841525073,22.98,48.94,103.36531829834,101.97,0.5778,0.1603,0.0075,0.0037,0,0.0119,-2.55787994272298,0.149948273731126
15030104,9428511,0.0711120785944189,22.89,45.61,66.2535247802734,101.97,0.5778,0.1603,0.0075,0.0037,0,0.0119,-2.56973088303401,0.180415476114038
15030104,9428511,0.920475176858935,22.33,65.41,69.7341079711914,101.97,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.44882081959904,0.215629234679024
15070201,9529100,0.743540754930237,20.2,78.43,73.7320327758789,51.82,0.4201,0.164,3e-04,0.0029,0,0.0352,1.0644538159982,0.540544057271219
15070201,9529300,0.858380753845074,21.66,117.32,114.212600708008,48.7,0.4201,0.164,3e-04,0.0029,0,0.0352,1.80190567890515,0.850537661571932
15070201,9529300,0.829067722959478,22.85,140.59,133.74462890625,48.7,0.4201,0.164,3e-04,0.0029,0,0.0352,1.57903440679113,0.757379308238635
15030104,9428505,0.036095672913183,21.79,153.97,181.877899169922,103.88,0.5778,0.1603,0.0075,0.0037,0,0.0119,-3.28481904967096,0.0973201686093533
15030104,9428505,0.0281966166061269,22.89,45.61,66.2535247802734,103.88,0.5778,0.1603,0.0075,0.0037,0,0.0119,-3.53995151130008,0.18028894909542
15030104,9428505,0.173751221902113,22.87,103.16,111.785133361816,103.88,0.5778,0.1603,0.0075,0.0037,0,0.0119,-1.5592713953617,0.114487489841319
15030104,9428505,0.182208400006476,22.88,124.41,135.522796630859,103.88,0.5778,0.1603,0.0075,0.0037,0,0.0119,-1.50145644942786,0.0784115484671848
15030104,9428505,0.207935823755803,22.62,85.29,64.1969833374023,103.88,0.5778,0.1603,0.0075,0.0037,0,0.0119,-1.33741292668537,0.0908513326154709
15070201,9520500,0.0473824779546212,22.02,87.45,132.21603710468,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,-3.00096098516059,0.0215065959124813
15070201,9520500,0.0278015283182377,22.11,146.64,98.2247009277344,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,-3.55446897792804,0.551589266439613
15070201,9520500,0.301205132577669,20.75,218.23,204.222076416016,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.841565697176892,0.195379416714988
15070201,9520500,0.0972332680286044,21.36,125.41,174.381591796875,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,-2.22835127785579,0.237235539991886
15070201,9520500,0.878980319903993,20.67,163.05,170.776306152344,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,1.98280933045386,0.365528516280774
15070201,9520500,0.548501439297294,21.89,108.08,126.316749572754,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,0.194617718732973,0.478973560821581
15070201,9520500,0.405442868902594,22.87,115.8,116.515701293945,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.382836837790174,0.505798083190916
15070201,9520500,0.449983175954121,22.97,129.92,164.03239440918,47.91,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.20073867163616,0.475858548130799
15030104,9428508,0.873959844961528,21.18,62.76,53.7425994873047,99.54,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.93643388365825,0.856205924200146
15030104,9428508,0.875935175173601,22.23,93.69,122.792259216309,99.54,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.95448787739402,0.857634846562403
15030104,9428508,0.901484577609039,22.89,45.61,66.2535247802734,99.54,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.21382982660063,0.907351812968098
15030104,9428508,0.88846416634445,22.34,29.4,37.2838287353516,99.54,0.5778,0.1603,0.0075,0.0037,0,0.0119,2.07514839892834,0.79136006760383
15030104,9428508,0.85834762908867,22.42,57.3,81.6911544799805,99.54,0.5778,0.1603,0.0075,0.0037,0,0.0119,1.80163321558968,0.909651740287895
15030204,9426620,0.0831414246727894,20.33,220.92,265.955047607422,155.99,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-2.40041016547697,0.406955835657642
15030204,9426620,0.17319418032887,21.19,216.22,187.569534301758,155.99,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-1.56315647188107,0.477564429234816
15030204,9426620,0.852220691859341,21.45,134.43,170.488998413086,155.99,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,1.75212552162627,0.709393831405127
15030204,9426620,0.730605693183469,21.52,162.62,226.301696777344,155.99,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,0.997697775881084,0.695514603974488
15030204,9426620,0.537907996786036,20.68,199.58,203.966598510742,155.99,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,0.15192352343504,0.545671527668994
15030204,9426620,0.596055999255029,21.38,197.28,246.356887817383,155.99,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,0.389058364796902,0.701549367435388
15010010,9415060,0.00751679926668305,17.92,258.4,304.700073242188,498.14,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-4.88306966827943,0.0496723528926787
15010010,9415060,0.19062268963949,17.77,246.51,224.912582397461,498.14,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-1.44596917201906,0.0598315526802672
15010010,9415060,0.0693239432596903,16.36,355.44,280.552795410156,498.14,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-2.59712091667717,0.059873047791457
15030204,9426500,0.178110045938934,19.9,294.21,213.842961120605,189.29,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-1.52920491538072,0.22554642019608
15010010,9414900,0.867486598663108,16.91,212.69,195.610168457031,559.06,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,1.87891628099775,0.671314802052735
15010010,9415000,0.386388259025829,15.51,279.92,247.225181110089,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-0.462519668110481,0.558099557697572
15010010,9415000,0.434062799763463,15.71,278.67,247.225181110089,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-0.265293894853482,0.53739236165008
15010010,9415000,0.686474978137988,16.5,188.97,220.179412841797,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.783690604652345,0.648872914337594
15010010,9415000,0.607477298734946,15.74,252.98,300.511596679688,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.436720433011048,0.601675322283889
15010010,9415000,0.630154744174861,15.44,324.53,328.720825195312,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.532880724241781,0.536982371762436
15010010,9415000,0.527440198831754,16.01,357.51,295.231536865234,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.109871189535711,0.520745092255043
15010010,9415000,0.757687454205765,17.39,221.69,186.694808959961,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,1.14004256664786,0.760821264742487
15010010,9415000,0.633704580406335,16.2,209.87,213.919891357422,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.548142719154438,0.616298923978942
15010010,9415000,0.667723883827225,17.87,216.13,194.442626953125,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.697908442035471,0.465564058219243
15010010,9415000,0.609394726325891,17.77,246.51,224.912582397461,540.41,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.444768692813512,0.646369072777343
15010010,9413700,0.525553878684473,17.13,211.82,177.705291748047,605.13,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,0.102304650211972,0.572984609854107
15010010,9413700,0.479809146841194,17.83,209.12,228.914703369141,605.13,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-0.0808073554572462,0.52334438353719
15010010,9413700,0.438264702482809,17.82,231.38,234.520782470703,605.13,0.1679,0.1241,1e-04,0.0028,0.1212,0.1834,-0.248207666676383,0.534051292883328
15010007,9404343,0.566871574534488,15.59,250.62,276.067657470703,1155.1,0.4983,0.1903,0,0.0074,0.0868,0.0021,0.269098499498016,0.0367581441025093
15010007,9404343,0.0021157013821499,15.72,356.4,374.760162353516,1155.1,0.4983,0.1903,0,0.0074,0.0868,0.0021,-6.15625095605256,0.0508835172430741
15010007,9404343,5.51551934364759e-05,16.7,198.6,229.309753417969,1155.1,0.4983,0.1903,0,0.0074,0.0868,0.0021,-9.80530449069147,0.0166688065459472
15010005,9404222,0.872283221094926,17.37,179.46,192.636093139648,507.55,0.1636,0.0746,0.0284,0.001,0.1249,0.0225,1.92129901845243,0.804345608200831
15010005,9404222,0.868393278479207,17.22,136.81,151.462295532227,507.55,0.1636,0.0746,0.0284,0.001,0.1249,0.0225,1.88682660488063,0.7739094500703
15010005,9404222,0.687216179150364,16.86,214.38,224.914108276367,507.55,0.1636,0.0746,0.0284,0.001,0.1249,0.0225,0.787136630269124,0.76460216433344
15030201,9424450,0.536260821655625,14.67,272.97,272.547454833984,442.1,0.1207,0.3285,0,8e-04,0.1441,0.0122,0.14529837173929,0.220039770977811
15030201,9424450,0.179166669791423,14.4,332.99,384.350463867188,442.1,0.1207,0.3285,0,8e-04,0.1441,0.0122,-1.52200359179712,0.160668035089683
15030201,9424450,0.0572708571793511,15.29,438.75,423.629455566406,442.1,0.1207,0.3285,0,8e-04,0.1441,0.0122,-2.80098711849876,0.167821958417379
15030201,9424450,0.167877738263629,15.54,412.84,321.832916259766,442.1,0.1207,0.3285,0,8e-04,0.1441,0.0122,-1.60074341319256,0.170210603758922
15030204,9426000,0.0756023486366035,19.69,335.09,213.842961120605,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-2.5036549883577,0.170130575642175
15030204,9426000,0.114065251093567,20.96,237.26,213.842961120605,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-2.04987263839813,0.238411894209793
15030204,9426000,0.437935601253235,20.05,226.35,263.036682128906,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-0.249544561381899,0.409139712714404
15030204,9426000,0.103502444464934,20.33,220.92,265.955047607422,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-2.15890033592037,0.399662085001334
15030204,9426000,0.70303849716883,19.94,310.99,238.933090209961,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,0.861809141271442,0.468815114113485
15030204,9426000,0.69213632482396,21.41,184.91,164.633148193359,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,0.810125865479483,0.688799623498967
15030204,9426000,0.849855709412891,21.51,247.93,181.747268676758,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,1.73346981246419,0.534263633454653
15030204,9426000,0.218081346074076,20.91,299.64,216.686126708984,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-1.2768825717061,0.235503436867851
15030204,9426000,0.830844817099447,20.83,217.19,163.984161376953,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,1.59162649944577,0.605047353933336
15030204,9426000,0.813221146966559,20.68,199.58,203.966598510742,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,1.47107777312054,0.54764392489176
15030204,9426000,0.944669835049813,21.74,192.01,151.820083618164,308.56,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,2.83751724743371,0.7437770758448
15070201,9520280,0.556958944836782,21.95,135.19,173.016342163086,113.41,0.4201,0.164,3e-04,0.0029,0,0.0352,0.2288290884938,0.00525532290855999
15070201,9520280,5.27379871909034e-05,21.87,107.36,112.902862548828,113.41,0.4201,0.164,3e-04,0.0029,0,0.0352,-9.85012180314298,0.0043065486199983
15070201,9520280,0.000183852119395165,21.69,150.92,214.483337402344,113.41,0.4201,0.164,3e-04,0.0029,0,0.0352,-8.60119495341148,0.00398223216781681
15030204,9425500,0.217074995204308,19.68,198,213.842961120605,383.47,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-1.28279401823344,0.25661509772945
15030204,9425500,0.202429585613594,20.65,263.91,247.192398071289,383.47,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-1.37117802395163,0.266171986232554
15030204,9425500,0.069511272094664,19.69,373.6,362.473968505859,383.47,0.5322,0.0875,0.0046,2e-04,0.0019,0.0035,-2.59422103415789,0.150853805585578
15030201,9424200,0.229402944792839,14.5,321.67,309.564514160156,1393.16,0.1207,0.3285,0,8e-04,0.1441,0.0122,-1.21168556920855,0.20972367210643
15030201,9424200,0.273517749920838,15.08,252.22,287.023162841797,1393.16,0.1207,0.3285,0,8e-04,0.1441,0.0122,-0.97684753169332,0.296457011792061
15030202,9424447,0.083567126995909,14.87,493.22,424.8349609375,587.46,0.0429,0.129,3e-04,7e-04,0.1831,0.0137,-2.39483859682243,0.15151946816273
15030202,9424447,0.0840102132828517,15.89,417.8,441.611114501953,587.46,0.0429,0.129,3e-04,7e-04,0.1831,0.0137,-2.389066836587,0.145148478032873
15030202,9424447,0.0834600897920394,16.73,197.4,211.826965332031,587.46,0.0429,0.129,3e-04,7e-04,0.1831,0.0137,-2.39623706162586,0.138296077162061
15010002,9404208,0.834162991076503,13.57,339.75,361.883483886719,426.52,0.0113,0.1158,0.0023,1e-04,0.2535,0.0099,1.61542338416196,0.734702917801452
15010002,9404208,0.566763850716936,14.29,297.5,261.723175048828,426.52,0.0113,0.1158,0.0023,1e-04,0.2535,0.0099,0.268659769192913,0.659579096062774
15010002,9404208,0.424787308397457,13.74,269.95,221.417953491211,426.52,0.0113,0.1158,0.0023,1e-04,0.2535,0.0099,-0.303151278013402,0.728968505594895
15010002,9404200,0.815427073428215,14.29,297.5,261.723175048828,408.54,0.0113,0.1158,0.0023,1e-04,0.2535,0.0099,1.48566734111321,0.798878380994656
15010002,9404200,0.841593829681142,14.88,130.68,157.594390869141,408.54,0.0113,0.1158,0.0023,1e-04,0.2535,0.0099,1.6701350776491,0.805213186524762
15030203,9424900,0.0543834364153347,15.98,309.96,397.989501953125,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-2.85577753313979,0.0331808178388552
15030203,9424900,0.0194803389049753,16.06,405.79,377.565216064453,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-3.9186770018975,0.0365938685394661
15030203,9424900,0.0281779252445637,16.23,391.11,376.268768310547,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-3.54063385838562,0.052477900231518
15030203,9424900,0.210879404432094,15.98,359.76,414.614166259766,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-1.31963272815251,0.0371086529388149
15030203,9424900,0.114071115854135,16.53,595.63,541.721740722656,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-2.049814604003,0.12466085184078
15030203,9424900,0.120407777724079,17.67,380.36,292.031433105469,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-1.98857428647396,0.0157930823753803
15030203,9424900,0.111776979513162,17.2,197.51,250.811904907227,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-2.07271722889076,0.0393711951524003
15030203,9424900,0.00330661293947595,17.55,286.69,362.258514404297,419.02,0.1322,0.2235,0,0.0013,0.067,0.0145,-5.70851880276266,0.0208232607589288
15070201,9519800,0.0859101447007998,20.43,90.21,111.477577209473,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,-2.36462695559875,0.338100426703152
15070201,9519800,0.300340116847297,20.8,68.68,119.58171081543,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.84567878045233,0.375938988048667
15070201,9519800,0.0485805097866882,20.03,106.1,108.145332336426,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,-2.97473265233731,0.296151778873248
15070201,9519800,0.499674299122829,21.36,125.41,174.381591796875,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.0013028036929544,0.13931188254559
15070201,9519800,0.608177214908023,21.47,110.08,146.904830932617,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,0.439656652659669,0.216546555909171
15070201,9519800,0.443871402224721,22.38,87.37,82.3310165405273,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,-0.225464672618675,0.22835425251891
15070201,9519800,0.00227821197814737,23.44,94.89,95.0345001220703,169.36,0.4201,0.164,3e-04,0.0029,0,0.0352,-6.08208355273674,0.0227757484362737
15070104,9517490,0.00067027963525277,20,205.43,251.110397338867,259.72,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-7.30714506223026,0.000828361262581209
15070104,9517490,0.00378904370912293,20.62,168.81,218.901458740234,259.72,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-5.57184537089851,0.000367011264454178
15070104,9517490,0.000996212357589833,21.07,131.45,199.492782592773,259.72,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-6.9105534037673,0.000376833448377782
15070202,9520170,0.00156138922186513,21.35,173.09,174.708740234375,404.04,0.1272,0.0957,1e-04,0.0032,0,0.287,-6.46061671770748,0.000526169047750407
15070104,9517500,0.000981838133135743,19.8,174.74,225.123306274414,237.02,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-6.92510177661847,0.000307408200106042
15070104,9517500,0.000308628462068018,19.86,204.21,210.30891418457,237.02,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-8.08306371654686,0.000875440161946886
15070104,9517500,0.00080853952541405,19.32,203.77,219.455657958984,237.02,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-7.11947212623269,0.00167270556967262
15070104,9517500,0.000741778394715967,19.81,195.58,209.151596069336,237.02,0.3886,0.3727,9e-04,0.003,0.001,0.0748,-7.2057179651685,0.000801505622899021
15010004,9404115,0.919448717902083,11.06,308.31,277.376739501953,570.46,0.0013,0.2894,1e-04,0.0018,0.1928,0.0762,2.43488024447528,0.954247382708049
15010004,9404115,0.879202611995831,10.61,396.1,274.750946044922,570.46,0.0013,0.2894,1e-04,0.0018,0.1928,0.0762,1.98490071117798,0.965276068612929
15070103,9517000,0.227573948095365,20.22,278.82,227.013305664062,257.29,0.1558,0.3214,1e-04,0.0044,0.0648,0.0521,-1.22206104635227,0.0530309244261714
15070103,9515500,0.261852159747303,17.29,345.47,325.66985919659,682.81,0.1558,0.3214,1e-04,0.0044,0.0648,0.0521,-1.03636406135969,0.239944635120703
15070103,9515500,0.185096806675753,18.13,365.43,325.66985919659,682.81,0.1558,0.3214,1e-04,0.0044,0.0648,0.0521,-1.48219035744474,0.208885224176261
